document_id,document_name,category,mas_function,actor,actor_type,aidm_domain,variable_name,valuation_type,visibility,jurisdiction,gaap_alignment,category_label
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Shopping,Offer,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Shopping,Fare,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Shopping,A La Carte Offer Item,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Order Management,Order,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Order Management,Ticket,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Order Management,Accountable Document,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Settlement with Orders,Settlement Amount,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Settlement with Orders,Proration Value,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Payments,Payment Transaction,risk,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Parties,Passenger Name Record (PNR),risk,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Parties,Administrating Carrier,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Baggage,Baggage Allowance,cost,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Shopping,Market Yield,income,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Shopping,Variable Consideration,option,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Flights,Schedule,cost,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Parties,Aggregator,market,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Order Management,Advance Passenger Info,risk,HIGH,ALL,IFRS 15,Industry Schema
D01,AIDM/RP1008,2,all_functions,IATA,industry_body,Baggage,Excess Baggage Fee,income,HIGH,ALL,IFRS 15,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Settlement Amount,income,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Proration Value,income,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Five Day Rate (FDR),market,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Billing Period,cost,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Charge Category Code,market,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Charge Code,market,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,F12 File Total,income,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Reject Amount,risk,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Dispute Amount,risk,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Credit Note Value,cost,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,VAT Amount,cost,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,Auto-Billing Uplift,income,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D02,SIS IS-XML,2,distribution_gds,Amadeus,vendor,Settlement with Orders,NFP (Neutral Fare Proration),income,MEDIUM,ALL,IFRS 15 / IFRS 9,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Settlement with Orders,Interline Billing Basis,income,HIGH,ALL,IFRS 15,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Order Management,Ticket Type,income,HIGH,ALL,IFRS 15,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Order Management,Journey Type,market,HIGH,ALL,IFRS 15,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Settlement with Orders,Amount to be Prorated,income,HIGH,ALL,IFRS 15,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Shopping,Fare Owner,income,HIGH,ALL,IFRS 15,Industry Schema
D03,IATA Interline Checklist,2,distribution_gds,IATA,industry_body,Shopping,Fare Type,market,HIGH,ALL,IFRS 15,Industry Schema
